  MONTH       HOUR        COLLISION_COUNT
----------- ----------- ---------------
          -           -          230992
          6           -           21369
          5           -           21012
         10           -           20358
         12           -           19715
         11           -           19660
          9           -           19604
          7           -           19593
          3           -           19334
          8           -           19133
          4           -           17828
          1           -           17551
          -          16           16973
          -          17           16691
          2           -           15835
          -          14           15753
          -          15           14675
          -          18           14280
          -          13           13612
          -           8           12955
          -          12           12634
          -           9           12348
          -          11           12092
          -          10           11662
          -          19           11570
          -          20            9410
          -           0            8379
          -          21            7952
          -           7            7348
          -          22            7318
          -          23            5893
          -           6            4954
          -           1            3586
          -           5            3127
          -           4            2765
          -           2            2663
          -           3            2352
          6          16            1678
          6          17            1637
          5          16            1632
          5          17            1624
          9          16            1529
         10          16            1524
          6          14            1514
         12          17            1495
          3          16            1457
          7          17            1433
          5          14            1418
          7          16            1418
          8          16            1414
          9          17            1412
          3          17            1407
         10          14            1403
         11          17            1388
          6          15            1385
         10          17            1385
          5          15            1375
          6          18            1374
          4          16            1373
          8          17            1370
         12          18            1355
          3          14            1354
         12          16            1342
         12          14            1338
          4          17            1324
         10          15            1323
          5          18            1314
         11          14            1311
          7          14            1310
          8          14            1308
          9          15            1298
         11          16            1292
          7          18            1281
          6          13            1273
          3          15            1268
          4          14            1260
          7          15            1259
          3           8            1258
          9          14            1249
          1          17            1240
         10           8            1239
          8          13            1233
         11          18            1232
          8          15            1223
          5           8            1210
          1          16            1206
         11           8            1198
          1          14            1198
          1          18            1193
          5          13            1190
         12          15            1190
          6          19            1188
         11          15            1186
          8          18            1170
          7          13            1169
         10          13            1169
          5          12            1164
         12          13            1161
          4          18            1152
          6          12            1151
         10           9            1150
          6           8            1147
         11           9            1141
          5           9            1135
          9          13            1132
          3           9            1131
          6          11            1128
          3          13            1124
         10          19            1123
          4          15            1119
          7          12            1111
         10          12            1111
         10          18            1111
         11          13            1108
          2          16            1108
          9           9            1104
          7          11            1104
          3          18            1102
          5          11            1098
          9           8            1097
          9          12            1095
         12          12            1090
          2          14            1090
          3          12            1079
          4          13            1077
          1          13            1068
          5          10            1060
          9          18            1056
          8          11            1052
          8          12            1045
         11          11            1041
         11          12            1040
          1          15            1040
         12           8            1038
          6           9            1036
         12          11            1029
         12          19            1029
          6          10            1026
          9          10            1024
          1           8            1021
         11          10            1011
          2          15            1009
         11          19            1007
         10          10            1004
          9          11            1003
         12           9            1001
          3          10             986
         10          11             981
          2           8             979
          2          17             976
          7           9             974
         12          10             974
          7          10             973
          8          10             970
          7          19             970
          4          12             967
          3          11             958
          5          19             958
          2           9             942
          1           9             941
          2          18             940
          8           9             938
          1          11             934
          3          19             931
          1          12             930
          8          19             928
          4           8             923
          7           8             923
          8           8             922
          2          11             908
          2          13             908
          4          10             901
          1          19             898
          1          10             894
          9          19             881
         10          20             861
          4          11             856
          4           9             855
         12          20             853
          2          12             851
          2          10             839
          9          20             837
         11          20             832
          4          19             829
          2          19             828
          6          20             812
          6           0             801
          8          20             778
          3          20             777
          5           0             772
          5          20             767
          4          20             763
          8           0             760
         11           0             752
          9          21             751
         10           7             749
          7          21             749
          7          20             746
          7           0             734
         11           7             723
         12           0             722
          8          21             720
          9           0             712
          6          21             702
          6          22             698
          5           7             696
          5          21             696
          1          20             692
          2          20             692
         10           0             688
          5          22             685
          9           7             682
         11          21             680
          7          22             672
          4          21             669
         10          21             661
          4           0             659
         12          21             656
          8          22             653
          3          21             649
          3           0             648
          9          22             648
          6           7             635
         10          22             629
         11          22             619
          3           7             599
         12          22             595
          1           0             592
          7          23             588
          5          23             585
          6          23             583
          1           7             582
          4          22             574
         12           7             564
          3          22             558
          4           7             548
          8          23             547
          2           0             539
          7           7             539
          2           7             535
          1          21             535
         10           6             511
         12          23             502
          8           7             496
          1          22             496
          9          23             493
          2          22             491
          2          21             484
         10          23             475
         11           6             460
          4          23             460
          1           6             459
          3          23             458
         12           6             451
          3           6             435
         11          23             430
          6           6             420
          5           6             417
          1          23             397
          2          23             375
          9           6             371
          7           6             370
          2           6             364
          8           6             363
          7           1             352
          8           1             333
         12           1             333
          4           6             333
         11           1             316
          5           1             315
          4           1             312
          9           1             306
         11           5             291
         10           1             284
          6           1             282
          1           5             282
         10           5             282
          1           1             280
         12           5             279
          3           5             273
         10           4             262
         12           2             261
          9           2             257
          1           4             253
          6           5             253
          8           2             252
          4           5             251
          8           5             250
          9           5             249
          5           5             248
          7           5             245
         12           4             244
          5           4             241
          3           1             237
          2           1             236
          6           2             236
          1           2             235
          7           2             234
          4           4             234
          3           4             231
         11           4             231
          7           4             227
          3           3             226
         10           2             225
          2           5             224
          9           4             223
          5           2             220
          6           4             219
          4           2             213
         12           3             213
          7           3             212
         10           3             208
          8           3             205
          8           4             203
          2           4             197
          9           3             195
          5           3             192
          6           3             191
          3           2             188
         11           2             186
          1           3             185
         11           3             185
          4           3             176
          2           3             164
          2           2             156

  325 record(s) selected.
