ZIP_CODE   LATITUDE     LONGITUDE     COLLISION_COUNT
---------- ------------ ------------- ---------------
10459       40.82030500  -73.89083000             115
11201       40.69603300  -73.98453000             107
10474       40.81686400  -73.88274400              89
10018       40.75951400  -73.99926000              86
10036       40.75898000  -73.99595000              84
10453       40.86186200  -73.91282000              79
10036       40.76082200  -73.99832000              77
11226       40.76082200  -73.99832000              77
10012       40.72032000  -73.99404000              76
10012       40.72413600  -73.99261500              75
10022       40.76060000  -73.96434000              70

  11 record(s) selected.

